titre,resume,auteurs,date_publication,journal,mots_cles,maladie,source,lien,type_contenu,date_scraping
Data resource profile: the Korea National Health and Nutrition Examination Survey (KNHANES).,"The Korea National Health and Nutrition Examination Survey (KNHANES) is a national surveillance system that has been assessing the health and nutritional status of Koreans since 1998. Based on the National Health Promotion Act, the surveys have been conducted by the Korea Centers for Disease Control and Prevention (KCDC). This nationally representative cross-sectional survey includes approximately 10 000 individuals each year as a survey sample and collects information on socioeconomic status, health-related behaviours, quality of life, healthcare utilization, anthropometric measures, biochemical and clinical profiles for non-communicable diseases and dietary intakes with three component surveys: health interview, health examination and nutrition survey. The health interview and health examination are conducted by trained staff members, including physicians, medical technicians and health interviewers, at a mobile examination centre, and dieticians' visits to the homes of the study participants are followed up. KNHANES provides statistics for health-related policies in Korea, which also serve as the research infrastructure for studies on risk factors and diseases by supporting over 500 publications. KCDC has also supported researchers in Korea by providing annual workshops for data users. KCDC has published the Korea Health Statistics each year, and microdata are publicly available through the KNHANES website (",Sanghui Kweon | Yuna Kim | Myoung-jin Jang | Yoonjung Kim | Kirang Kim | Sunhye Choi | Chaemin Chun | Young-Ho Khang | Kyungwon Oh,2014-02-01,Unknown,eye diseases | Europe PMC,eye diseases,Europe PMC,https://pubmed.ncbi.nlm.nih.gov/24585853/,prevention,2026-06-01 18:49:10.567
Study to Evaluate the Safety of Novartis MenACWY Conjugate Vaccine When Administered With Routine Infant Vaccinations to Healthy Infants,The primary objective of this phase 3b study is to evaluate the safety and tolerability of Novartis MenACWY conjugate vaccine when administered with routine infant vaccinations to healthy infants,Novartis,2008-12,Novartis,Meningitis | Meningococcal Infection | infectious diseases | ClinicalTrials,infectious diseases,ClinicalTrials,https://clinicaltrials.gov/study/NCT00806195,prevention,2026-06-01 18:43:21.459
[Pathophysiological mechanisms of coagulation dysfunction associated with liver disease].,"Coagulation abnormalities associated with liver diseases easily lead to spontaneous and secondary bleeding, which is associated with hemodynamic changes, reduced synthesis of coagulation factors, liver disease-related thrombocytopenia, and pharmacological interventions. On the other hand, patients with liver disease also have a hypercoagulable state, making them prone to portal vein thrombosis, which is associated with hemodynamic changes, reduced synthesis of anticoagulants, abnormal vascular intima structure, inflammation, and pharmacological treatment. Additionally, patients with liver disease are at an intertwined risk of bleeding and thrombosis and are in a fragile state of hemostasis rebalancing for an extended period. Genetic factors and diagnostic and therapeutic procedures further challenge the management of coagulation function in patients with liver disease. This article discusses the mechanisms of coagulation abnormalities from the perspectives of both bleeding and thrombosis, providing assistance for dynamically managing and rebalancing the hemostasis in patients with liver disease. 肝病相关凝血功能异常，容易发生自发性和继发性出血，与患者血液动力学改变、凝血因子合成减少、肝病相关血小板减少和药物治疗等相关。另一方面，肝病患者同时存在高凝状态，易发生门静脉血栓，与血液动力学改变、抗凝物质合成减少、血管内膜结构异常、炎症和药物治疗等相关。肝病患者出血与血栓风险交织，长期处于脆弱的止血再平衡状态。遗传因素和诊疗性操作给肝病患者凝血功能管理带来更多挑战。文章从出血和血栓两个角度讨论凝血功能异常的机制，为动态掌控肝病患者止血再平衡提供帮助。.",Wang H | Chen X | Lu Y Y,2026-May,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,Humans | Liver Diseases | Blood Coagulation Disorders | Blood Coagulation | digestive diseases | PubMed,digestive diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42209166/,diagnosis,2026-06-01 19:18:37.464
A map of recent positive selection in the human genome.,"The identification of signals of very recent positive selection provides information about the adaptation of modern humans to local conditions. We report here on a genome-wide scan for signals of very recent positive selection in favor of variants that have not yet reached fixation. We describe a new analytical method for scanning single nucleotide polymorphism (SNP) data for signals of recent selection, and apply this to data from the International HapMap Project. In all three continental groups we find widespread signals of recent positive selection. Most signals are region-specific, though a significant excess are shared across groups. Contrary to some earlier low resolution studies that suggested a paucity of recent selection in sub-Saharan Africans, we find that by some measures our strongest signals of selection are from the Yoruba population. Finally, since these signals indicate the existence of genetic variants that have substantially different fitnesses, they must indicate loci that are the source of significant phenotypic variation. Though the relevant phenotypes are generally not known, such loci should be of particular interest in mapping studies of complex traits. For this purpose we have developed a set of SNPs that can be used to tag the strongest approximately 250 signals of recent selection in each population.",Benjamin F Voight | Sridhar Kudaravalli | Xiaoquan Wen | Jonathan K Pritchard,2006-03-07,Unknown,diabetes | Europe PMC,diabetes,Europe PMC,https://pubmed.ncbi.nlm.nih.gov/16494531/,bioinformatics,2026-06-01 18:46:42.820
A simplified system for generating recombinant adenoviruses.,"Recombinant adenoviruses provide a versatile system for gene expression studies and therapeutic applications. We report herein a strategy that simplifies the generation and production of such viruses. A recombinant adenoviral plasmid is generated with a minimum of enzymatic manipulations, using homologous recombination in bacteria rather than in eukaryotic cells. After transfections of such plasmids into a mammalian packaging cell line, viral production is conveniently followed with the aid of green fluorescent protein, encoded by a gene incorporated into the viral backbone. Homogeneous viruses can be obtained from this procedure without plaque purification. This system should expedite the process of generating and testing recombinant adenoviruses for a variety of purposes.",T C He | S Zhou | L T da Costa | J Yu | K W Kinzler | B Vogelstein,1998-03-01,Unknown,cancer | Europe PMC,cancer,Europe PMC,https://pubmed.ncbi.nlm.nih.gov/9482916/,basic_research,2026-06-01 18:46:08.167
Molecular signatures and biomarker development for limbic-predominant age-related TDP-43 encephalopathy (LATE).,"Limbic-predominant age-related TDP-43 encephalopathy (LATE) is a neurodegenerative disease marked by TDP-43 proteinopathy, affecting approximately one-third of individuals aged 80 and above. LATE neuropathological change (LATE-NC) is characterized by the accumulation of phosphorylated TDP-43 preferentially in the limbic system, with potential extension to the neocortex and other brain regions. Notably, the anatomic pattern of LATE-NC differs from that seen in frontotemporal lobar degeneration with TDP-43-immunoreactive inclusions (FTLD-TDP). LATE-NC can occur in a ""pure"" form but more commonly exists alongside other dementia-related comorbidities, including both degenerative and vascular pathologies. When those ""mixed"" pathologies are factored in, LATE contributes significantly to cognitive decline in human populations. However, LATE currently lacks a molecular-specific diagnostic method for definitive diagnosis in living people. There are new consensus-based guidelines for predicting the presence of either pure LATE-NC or LATE-NC combined with Alzheimer's disease neuropathologic change (ADNC). Aimed at developing more specific diagnostic methods, recent research efforts have been directed toward identifying unique features on neuroimaging and molecular signatures in biological fluids such as blood and cerebrospinal fluid to facilitate clinical diagnosis for LATE. This review discusses current progress in molecular understanding of LATE-NC, the search for biomarkers for LATE, and highlights key gaps that need to be addressed to advance early detection and improve patient management and clinical trial stratification.",Wu Ling | Akingbade Tobilola | Nelson Peter T | Wang Shih-Hsiu J | Xu Bin,2026-May,Acta neuropathologica,Biofluids | Biomarkers | LATE | Molecular signature | TDP-43 | Tau | alzheimer | PubMed,alzheimer,PubMed,https://pubmed.ncbi.nlm.nih.gov/42141120/,diagnosis,2026-06-01 19:12:41.331
Bone marrow cells regenerate infarcted myocardium.,"Myocardial infarction leads to loss of tissue and impairment of cardiac performance. The remaining myocytes are unable to reconstitute the necrotic tissue, and the post-infarcted heart deteriorates with time. Injury to a target organ is sensed by distant stem cells, which migrate to the site of damage and undergo alternate stem cell differentiation; these events promote structural and functional repair. This high degree of stem cell plasticity prompted us to test whether dead myocardium could be restored by transplanting bone marrow cells in infarcted mice. We sorted lineage-negative (Lin-) bone marrow cells from transgenic mice expressing enhanced green fluorescent protein by fluorescence-activated cell sorting on the basis of c-kit expression. Shortly after coronary ligation, Lin- c-kitPOS cells were injected in the contracting wall bordering the infarct. Here we report that newly formed myocardium occupied 68% of the infarcted portion of the ventricle 9 days after transplanting the bone marrow cells. The developing tissue comprised proliferating myocytes and vascular structures. Our studies indicate that locally delivered bone marrow cells can generate de novo myocardium, ameliorating the outcome of coronary artery disease.",D Orlic | J Kajstura | S Chimenti | I Jakoniuk | S M Anderson | B Li | J Pickel | R McKay | B Nadal-Ginard | D M Bodine | A Leri | P Anversa,2001-04-01,Unknown,heart disease | Europe PMC,heart disease,Europe PMC,https://pubmed.ncbi.nlm.nih.gov/11287958/,basic_research,2026-06-01 18:47:59.390
"Gestational syphilis and prenatal care: a study in light of individual, social, and programmatic vulnerabilities.","To analyze the perception of women diagnosed with gestational syphilis regarding prenatal care within the Family Health Strategy and to discuss the individual, social, and programmatic vulnerabilities related to this context. Qualitative and descriptive research, conducted with 20 women diagnosed with gestational syphilis, reported at two Family Clinics located in the Santa Cruz neighborhood, Rio de Janeiro/Brazil. Data collection was carried out through individual semi-structured interviews in the participants' homes, and data processing was performed using the software IRAMUTEQ. The participants were mostly mixed-race or black, with low levels of education, unemployed, and with low income, indicating social vulnerability. Syphilis was primarily diagnosed during pregnancy, with some cases only identified during childbirth or postpartum. The results pointed to individual, social, and programmatic vulnerabilities related to lack of knowledge, barriers to access, and failures in prenatal care. Gestational syphilis is associated with social and structural factors that require integrated actions in health education, strengthening prenatal care, and expanding the involvement of partnerships in treatment. Analisar a percepção de mulheres diagnosticadas com sífilis gestacional sobre o acompanhamento pré-natal na Estratégia Saúde da Família e discutir as vulnerabilidades individual, social e programática relacionadas a esse contexto. Pesquisa qualitativa e descritiva, realizada com 20 mulheres com diagnóstico de sífilis gestacional, notificadas em duas Clínicas da Família localizadas no bairro Santa Cruz, Rio de Janeiro/Brasil. Como coleta de dados foi realizada entrevista semiestruturada individual nas residências das participantes e tratamento dos dados por meio do software IRAMUTEQ. As participantes eram majoritariamente pardas ou pretas, com baixa escolaridade, desemprego e baixa renda, indicando vulnerabilidade social. O diagnóstico de sífilis ocorreu principalmente durante a gestação, sendo alguns casos identificados apenas no parto ou pós-parto. Os resultados apontaram vulnerabilidades individuais, sociais e programáticas, relacionadas à falta de conhecimento, barreiras de acesso e falhas no pré-natal. A sífilis gestacional está associada a fatores sociais e estruturais que exigem ações integradas de educação em saúde, fortalecimento do pré-natal e ampliação do envolvimento das parcerias no tratamento. Analizar la percepción de las mujeres diagnosticadas con sífilis gestacional respecto a la atención prenatal en el marco de la Estrategia de Salud Familiar y debatir las vulnerabilidades individuales, sociales y programáticas relacionadas con este contexto. Investigación cualitativa y descriptiva, realizada con 20 mujeres diagnosticadas con sífilis gestacional, cuyos resultados se obtuvieron en dos clínicas familiares ubicadas en el barrio de Santa Cruz, Río de Janeiro/Brasil. La recopilación de datos se llevó a cabo mediante entrevistas individuales semiestructuradas en los domicilios de las participantes, y el procesamiento de datos se realizó utilizando el software IRAMUTEQ. Las participantes eran en su mayoría mestizas o negras, con bajos niveles de educación, desempleo y bajos ingresos, lo que indica vulnerabilidad social. La sífilis se diagnosticaba principalmente durante el embarazo, aunque algunos casos solo se identificaban durante el parto o el posparto. Los resultados señalaron vulnerabilidades individuales, sociales y programáticas relacionadas con la falta de conocimiento, las barreras de acceso y las deficiencias en la atención prenatal. La sífilis gestacional está asociada a factores sociales y estructurales que requieren acciones integradas en materia de educación para la salud, fortalecimiento de la atención prenatal y ampliación de la participación de las parejas en el tratamiento.",Sarefino Adriana de Oliveira | Queiroz Ana Beatriz Azevedo | Silva Karla Gualberto | Souza Norma Valéria Dantas de Oliveira | Titara Natalia Moreira Leitão | Carvalho Ana Luiza de Oliveira | Bezerra Juliana da Fonsêca | Pinheiro Ana Kedma Correa | Rosa Aline Furtado da,2026-,Revista da Escola de Enfermagem da U S P,"Humans | Prenatal Care | Pregnancy | Female | Brazil | Pregnancy Complications, Infectious | Syphilis | Adult | Young Adult | Social Vulnerability | Health Knowledge, Attitudes, Practice | Health Services Accessibility | infectious diseases | PubMed",infectious diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42213455/,diagnosis,2026-06-01 19:20:30.429
Adrecizumab in Cardiogenic Shock,"Cardiogenic shock is a serious medical condition with high mortality and morbidity. This trial assesses safety, tolerability and efficacy of Adrecizumab on top of standard of care in patients with cardiogenic shock.",Dr. med. Mahir Karakas,2019-04-04,Dr. med. Mahir Karakas,Cardiogenic Shock | Endothelial Dysfunction | heart disease | ClinicalTrials,heart disease,ClinicalTrials,https://clinicaltrials.gov/study/NCT03989531,epidemiology,2026-06-01 18:40:54.717
Connecting global priorities: biodiversity and human health: a state of knowledge review,Connecting global priorities: biodiversity and human health: a state of knowledge review,World Health Organization | Convention on Biological Diversity,2015-06-04,World Health Organization,autoimmune diseases | WHO,autoimmune diseases,WHO,https://iris.who.int/handle/10665/174012,review_meta,2026-06-01 19:31:25.201
Reconstruction matters: influence of EARL standards and BSREM in [,"Differentiating progressive disease (PD) from treatment-related changes (TRC) in glioma remains challenging using magnetic resonance imaging (MRI) alone. Amino acid positron-emission tomography (PET) with O-(2-[ Thirty-three patients with 42 lesions were analysed. In lesion‑based comparisons, both EANM Research Ltd. harmonization standard version 2.0 (EARL2) and block-sequential regularized expectation maximization using a β-value of 150 (BSREM150) yielded significantly higher standardized uptake values (SUV), tumour‑to‑background ratios (TBR), and biological tumour volumes (BTV) than EANM Research Ltd. harmonization standard version 1.0 (EARL1), and identified a greater number of lesions as measurable disease (MD). BTV differed across reconstructions; adapting the BSREM150 segmentation threshold to SUV ≥ 1.7 x mean background activity improved BTV concordance while preserving superior MD detection. Excellent discrimination between PD and TRC was observed for TBRmax across all reconstructions (area under the curve ≥ 0.94), although optimal thresholds were reconstruction‑specific (EARL1: 1.67; EARL2: 1.84; BSREM150: 2.39). At the patient level, EARL1 failed to identify three PD cases, whereas BSREM150 misclassified one TRC case as PD. Reconstruction standards substantially influence quantitative [¹⁸F]FET PET metrics and clinical interpretation. Applying universal thresholds across reconstructions risks misclassification, with EARL1 potentially underestimating tumour extent and BSREM150 increasing false-positive findings. Reconstruction-specific thresholds and neuro-oncology-specific harmonization frameworks are therefore essential for reliable [",de Jong J | Segbers M | Harteveld A A | Bron W J | Valkema R | Boellaard R | Veldhuijzen van Zanten S E M,2026-May,EJNMMI research,BSREM | EARL | Glioma | PET-RANO | Pseudoprogression | [¹⁸F]FET PET | cancer | PubMed,cancer,PubMed,https://pubmed.ncbi.nlm.nih.gov/42213387/,treatment,2026-06-01 19:10:54.034
Sanwu Huangqin Decoction induces ferroptosis in colorectal cancer cells by triggering NCOA4/FTH1-mediated ferritinophagy.,"In traditional Chinese medicine (TCM), colorectal cancer (CRC) is commonly associated with patterns such as damp-heat accumulation, heat toxin, and yin deficiency. Sanwu Huangqin Decoction (SWHQD) is a classical traditional Chinese medicine (TCM) formula composed of three medicinal herbs-Huangqin (Scutellaria baicalensis Georgi), Kushen (Sophora flavescens Ait.), and Dihuang (Rehmannia glutinosa Libosch.). It has been traditionally prescribed for clearing heat, eliminating dampness, and nourishing yin, particularly in the treatment of gastrointestinal disorders. Clinically, SWHQD has been used as an adjunctive intervention for CRC management. However, the precise pharmacological mechanisms underlying its anti-CRC activity remain incompletely characterized. This study sought to evaluate the anti-tumorigenic efficacy of SWHQD against CRC and to determine whether ferritinophagy-mediated ferroptosis contributes to its mechanism of action. Human CRC cell lines (HCT116 and SW480) and a xenograft tumor model in BALB/c nude mice were used to evaluate the anti-tumor effects of SWHQD in vitro and in vivo. Ferroptosis-related indicators, including intracellular Fe SWHQD significantly suppressed CRC cell proliferation in vitro and inhibited tumor growth in vivo. Treatment induced hallmark features of ferroptosis, including elevated intracellular Fe SWHQD suppresses CRC through a mechanism involving the NCOA4/FTH1 pathway to induce ferritinophagy-dependent ferroptosis. These findings provide mechanistic evidence supporting the traditional application of SWHQD and highlight its potential as a complementary therapeutic strategy for CRC.",Tan Xuanjing | Jiang Ruidi | Shan Keyao | Liu Jiyao | Yu Hong | Han Rui | Gao Can | Chen Qiulu | Zheng Yinli | Zhang Rong | Liu Zhongqiu | Wu Jinjun,2026-May,Journal of ethnopharmacology,Colorectal cancer | Ferritinophagy | Ferroptosis | NCOA4/FTH1 | Sanwu Huangqin Decoction | cancer | PubMed,cancer,PubMed,https://pubmed.ncbi.nlm.nih.gov/42219071/,treatment,2026-06-01 19:10:00.791
"A Study to Evaluate Safety, Acceptability, Pharmacokinetics, and ex Vivo Pharmacodynamics of TMC278 Long Acting Formulation in HIV-1 Seronegative Participants","The purpose of this study is to evaluate the safety, acceptability, pharmacokinetics (what the body does to the medication), and ex vivo (tested outside the body) pharmacodynamics (what the medication does to the body) of TMC278 long acting (slowly effective after initial dosage and maintaining its effects over a long period of time) when administered as an intramuscular (ie, in to the muscle) injection in adult participants who are seronegative for human immunodeficiency virus type 1 (HIV-1).","Janssen Research & Development, LLC",2012-11,"Janssen Research & Development, LLC",Healthy | infectious diseases | ClinicalTrials,infectious diseases,ClinicalTrials,https://clinicaltrials.gov/study/NCT01656018,treatment,2026-06-01 18:43:37.330
Impact of Simple Versus Complex Cannabis Advertising Messages and Warnings on US Young Adults' Product Perceptions.,"Despite cannabis' increased popularity, limited research has assessed effects of advertising messages or warnings, particularly their complexity. This study examined effects of advertising message and warning complexity on young adults' perceptions. In 2024, US adults ages 18 to 34 (n = 3581; 40.8% past-month cannabis use) completed an online survey-based experiment using a 2 × 3 factorial design (advertising message: simple vs complex; warning: none vs simple vs complex), then reported perceived addictiveness, harm, cautiousness, appeal, and interest (0 = none - 7 = extremely). Multivariable regression assessed conditions and their interactions with 1 another and past-month use in relation to perception outcomes. Complex (vs simple) advertising message exposure was associated with higher perceived addictiveness ( Desired effects were yielded by complex advertising messages (interest, appeal) and warnings (risk). However, complex advertising messages may overpower effects of complex warnings among users. Additional research is needed to understand these dynamics and inform regulations.",Speer Morgan B | LoParco Cassidy R | McCready Darcey M | Cui Yuxian | Chakraborty Rishika | Thakkar Shriya | Cavazos-Rehg Patricia A | Berg Carla J,2026-May,Substance use & addiction journal,advertising | cannabis | health communication | health warnings | marijuana | cancer | PubMed,cancer,PubMed,https://pubmed.ncbi.nlm.nih.gov/42218643/,epidemiology,2026-06-01 19:10:01.893
"Hypertension and coronary heart disease : classification and criteria for epidemiological studies, first report of the Expert Committee on Cardiovascular Diseases and Hypertension [meeting held in Geneva from 13 to 18 October 1958]",28 p.,World Health Organization. Expert Committee on Cardiovascular Diseases and Hypertension | World Health Organization,1959-12-31,World Health Organization,heart disease | WHO,heart disease,WHO,https://iris.who.int/handle/10665/40434,epidemiology,2026-06-01 19:30:00.594
Breast Arterial Calcification as a Predictor for Future Cardiovascular Events and Mortality: A Systematic Review and Meta-analysis.,"Breast arterial calcification (BAC) is a surrogate marker of cardiovascular disease (CVD); however, its associations with incident mortality and major adverse cardiovascular events (MACEs) have not been systematically evaluated. The association between BAC and incident MACE and whether this is influenced by the method of BAC assessment was examined. PubMed, MEDLINE, and EMBASE were reviewed to June 2025 for studies comparing BAC status with incident MACE (composite of death, myocardial infarction [MI], stroke, heart failure). The primary outcome was all-cause mortality. Random-effects meta-analysis was performed using hazard ratios (HRs) with 95% CIs. Subgroup analysis was conducted by method of BAC measurement and restricted to screening mammography cohorts, PROSPERO registration (CRD ). Of 1118 studies screened, 24 were included (236 475 participants; mean age 58.5 years). Breast arterial calcification presence associated with all-cause mortality (HR, 1.32; 95% CI, ; P <.0001) (follow-up 0.55-26 years). Increased risk was observed for cardiovascular mortality (HR, 1.38; 95% CI, ; P = .0009), heart failure (HR, 1.29; 95% CI, ; P <.0001), stroke (HR, 1.2; 95% CI, ; P <.0001), and MI (HR, 1.2; 95% CI, ; P <.0001). When restricted to screening mammography cohorts without concurrent indications for cardiovascular investigation (5 studies, n = 85 647), associations remained significant for all-cause mortality (HR, 1.34; 95% CI, ; P = .0004), cardiovascular mortality (HR, 1.38; 95% CI, ; P = .0009), heart failure (HR, 1.48; 95% CI, ; P = .0005), and stroke (HR, 1.34; 95% CI, ; P = .008). Associations with incident outcomes were observed only in studies using quantitative BAC assessment (HR, 1.31; 95% CI, ; P = .002). Breast arterial calcification is a promising prognostic marker of mortality and CVD risk. Recognition of this incidental finding may enable timely identification of at-risk individuals.",Nandurkar Rhea | Vasanthakumar Sheran | Stewart Jack | Aldous Emma | Tu Huong | Goel Vinay | Scanlon Liam | Patel Alisha | Soh Cheng | Nerlekar Nitesh,2026-May,Journal of breast imaging,breast arterial calcification | cardiovascular disease | coronary artery disease | mammary vascular calcification | diabetes | PubMed,diabetes,PubMed,https://pubmed.ncbi.nlm.nih.gov/42185878/,review_meta,2026-06-01 19:11:52.744
Optimizing Anticoagulation Therapy when Utilizing Mechanical Circulatory Support Devices.,"Hemorrhagic complications are frequent and clinically significant in patients undergoing mechanical circulatory support (MCS), occurring in 10% to 40% of cardiogenic shock cases and 5% to 10% of high-risk percutaneous coronary interventions. These events prolong hospitalization, increase morbidity, and adversely impact outcomes. This review examines the prevention and management of bleeding during MCS implantation, prolonged support, and removal. Access-site complications-predominantly from large-bore sheaths-can be mitigated through pre-procedural vascular imaging, ultrasound-guided puncture, and proficiency with large-bore closure techniques. During prolonged support, systemic bleeding may result from device-related hemocompatibility issues, combined antithrombotic therapy, and acquired coagulopathies.",Bertaina Maurizio | Franchin Luca | Gąsecka Aleksandra | Iannaccone Mario,2026-Jul,Interventional cardiology clinics,Anticoagulation | Bleeding | Cardiogenic shock | Mechanical circulatory support | Microaxial flow pump | Myocardial infarction | heart disease | PubMed,heart disease,PubMed,https://pubmed.ncbi.nlm.nih.gov/42209075/,treatment,2026-06-01 19:13:19.494
Relative Leukocyte Telomere Length Is Associated with Multimorbidity Burden in Older Adults: Evidence for Sex-Specific Associations.,"Leukocyte telomere length (LTL) has been proposed as a molecular marker of biological aging reflecting cumulative cellular stress and replicative senescence. Multimorbidity represents a major challenge in aging populations and reflects the progressive accumulation of chronic diseases. However, the relationship between LTL and multimorbidity burden remains incompletely understood. We investigated the association between LTL and multimorbidity burden, assessed using Cumulative Illness Rating Scale (CIRS) indices, in a cohort of older nursing home residents. Sex-stratified analyses were performed to explore potential biological heterogeneity. In multivariate analyses, shorter LTL was significantly associated with higher multimorbidity burden among women, particularly when considering severity- and comorbidity-weighted CIRS indices [False discovery rate-adjusted q-values (qFDR < 0.01)], whereas no significant associations were observed in men. Adjustment for functional status partially attenuated but did not eliminate these associations. Organ-specific analyses indicated that these associations in women were primarily driven by cardiovascular, respiratory, gastrointestinal, and genitourinary domains, systems commonly characterized by chronic inflammatory and oxidative stress processes that may promote telomere attrition. Overall, these findings support a sex-specific relationship between telomere dynamics and clinically relevant multimorbidity patterns in very old adults. LTL may reflect biologically meaningful aspects of disease severity and systemic stress regulation rather than merely the accumulation of diagnoses.",La Grotta Rossella | Crocco Paolina | Leonova Aleksandra | Dato Serena | Passarino Giuseppe | Rose Giuseppina,2026-May,International journal of molecular sciences,Cumulative Illness Rating Scale (CIRS) | biological aging | cellular senescence | geriatric assessment | multimorbidity | sex differences | telomere length | respiratory diseases | PubMed,respiratory diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42196441/,diagnosis,2026-06-01 19:15:40.010
